,Test_Time (s),Cycle_Index,Voltage (V),Current (A),Cell_Temperature (C),Capacity
586,5828.423999999999,1.0,3.465,0.55,16.157,0.8018181818181818
587,5838.438999999999,1.0,3.466,0.5489999999999999,16.095,0.8036363636363636
588,5848.454,1.0,3.467,0.5489999999999999,16.095,0.8045454545454545
589,5858.468999999999,1.0,3.468,0.5489999999999999,16.095,0.8063636363636363
590,5868.4839999999995,1.0,3.468,0.5489999999999999,16.157,0.8072727272727273
591,5878.499,1.0,3.469,0.5489999999999999,16.095,0.8090909090909091
592,5888.513999999999,1.0,3.47,0.5489999999999999,16.157,0.8099999999999998
593,5898.5289999999995,1.0,3.471,0.5489999999999999,16.157,0.8118181818181818
594,5908.543999999999,1.0,3.471,0.5489999999999999,16.095,0.8127272727272726
595,5918.558999999999,1.0,3.472,0.5489999999999999,16.095,0.8145454545454544
596,5928.574,1.0,3.4730000000000003,0.5489999999999999,16.157,0.8154545454545454
597,5938.588999999999,1.0,3.4739999999999998,0.5489999999999999,16.157,0.8172727272727273
598,5948.603999999999,1.0,3.475,0.5489999999999999,16.157,0.8181818181818181
599,5958.619,1.0,3.4760000000000004,0.5489999999999999,16.157,0.82
600,5968.633999999999,1.0,3.477,0.5489999999999999,16.172,0.8209090909090908
601,5978.648999999999,1.0,3.478,0.5489999999999999,16.034000000000002,0.8227272727272726
602,5988.664,1.0,3.4789999999999996,0.5489999999999999,16.095,0.8236363636363635
603,5998.678999999999,1.0,3.48,0.5489999999999999,16.234,0.8254545454545453
604,6008.6939999999995,1.0,3.4810000000000003,0.5489999999999999,16.08,0.8272727272727273
605,6018.708999999999,1.0,3.4819999999999998,0.5489999999999999,16.157,0.828181818181818
606,6028.723999999999,1.0,3.483,0.5489999999999999,16.08,0.8299999999999998
607,6038.739,1.0,3.485,0.5489999999999999,16.157,0.8309090909090908
608,6048.753999999999,1.0,3.486,0.5489999999999999,16.157,0.8327272727272725
609,6058.768999999999,1.0,3.487,0.5489999999999999,16.157,0.8336363636363636
610,6068.784,1.0,3.489,0.5489999999999999,16.095,0.8354545454545454
611,6078.798999999999,1.0,3.49,0.5489999999999999,16.095,0.8363636363636363
612,6088.813999999999,1.0,3.492,0.5489999999999999,16.157,0.8381818181818181
613,6098.829,1.0,3.4930000000000003,0.5489999999999999,16.019000000000002,0.839090909090909
614,6108.843999999999,1.0,3.495,0.5489999999999999,16.157,0.8409090909090908
615,6118.8589999999995,1.0,3.497,0.5489999999999999,16.157,0.8418181818181817
