,Test_Time (s),Cycle_Index,Voltage (V),Current (A),Cell_Temperature (C),Capacity
3414,5294.710000000003,3.0,3.431,0.5489999999999999,16.157,0.7345454545454544
3415,5304.725000000002,3.0,3.431,0.55,16.234,0.7363636363636363
3416,5314.740000000002,3.0,3.431,0.55,16.295,0.7372727272727272
3417,5324.755000000001,3.0,3.431,0.55,16.234,0.739090909090909
3418,5334.77,3.0,3.432,0.5489999999999999,16.219,0.74
3419,5344.785,3.0,3.431,0.5489999999999999,16.219,0.7418181818181817
3420,5354.799999999999,3.0,3.432,0.5489999999999999,16.157,0.7427272727272727
3421,5364.814999999999,3.0,3.432,0.5489999999999999,16.157,0.7445454545454545
3422,5374.829999999998,3.0,3.432,0.5489999999999999,16.142,0.7454545454545454
3423,5384.8449999999975,3.0,3.432,0.5489999999999999,16.142,0.7472727272727273
3424,5394.859999999997,3.0,3.432,0.5489999999999999,16.157,0.7481818181818181
3425,5404.874999999996,3.0,3.4330000000000003,0.5489999999999999,16.219,0.7499999999999999
3426,5414.890000000003,3.0,3.4330000000000003,0.5489999999999999,16.219,0.7518181818181818
3427,5424.9050000000025,3.0,3.4330000000000003,0.5489999999999999,16.08,0.7527272727272726
3428,5434.920000000002,3.0,3.4330000000000003,0.5489999999999999,16.142,0.7545454545454544
3429,5444.935000000001,3.0,3.4339999999999997,0.5489999999999999,16.142,0.7554545454545454
3430,5454.950000000001,3.0,3.4339999999999997,0.5489999999999999,16.219,0.7572727272727272
3431,5464.965,3.0,3.4339999999999997,0.5489999999999999,16.08,0.7581818181818182
3432,5474.98,3.0,3.4339999999999997,0.5489999999999999,16.157,0.7599999999999999
3433,5484.994999999999,3.0,3.4339999999999997,0.5489999999999999,16.157,0.7609090909090909
3434,5495.009999999998,3.0,3.435,0.5489999999999999,16.234,0.7627272727272727
3435,5505.024999999998,3.0,3.435,0.5489999999999999,16.157,0.7636363636363636
3436,5515.039999999997,3.0,3.435,0.5489999999999999,16.08,0.7654545454545455
3437,5525.054999999997,3.0,3.435,0.5489999999999999,16.08,0.7663636363636362
3438,5535.070000000003,3.0,3.435,0.5489999999999999,16.095,0.7681818181818181
3439,5545.085000000003,3.0,3.4360000000000004,0.5489999999999999,16.234,0.769090909090909
3440,5555.100000000002,3.0,3.4360000000000004,0.5489999999999999,16.172,0.7709090909090909
3441,5565.115000000002,3.0,3.4360000000000004,0.5489999999999999,16.157,0.7718181818181818
3442,5575.130000000001,3.0,3.437,0.5489999999999999,16.234,0.7736363636363636
3443,5585.145,3.0,3.437,0.5489999999999999,16.234,0.7754545454545454
3444,5595.16,3.0,3.437,0.55,16.11,0.7763636363636364
3445,5605.174999999999,3.0,3.437,0.5489999999999999,16.249000000000002,0.7781818181818181
3446,5615.189999999999,3.0,3.437,0.5489999999999999,16.249000000000002,0.7790909090909091
3447,5625.204999999998,3.0,3.438,0.5489999999999999,16.187,0.7809090909090909
3448,5635.2199999999975,3.0,3.438,0.5489999999999999,16.234,0.7818181818181817
3449,5645.236000000001,3.0,3.438,0.5489999999999999,16.172,0.7836363636363636
3450,5655.249999999996,3.0,3.438,0.5489999999999999,16.234,0.7845454545454544
